,Distance
964,3.2345
965,2.7731
966,2.6419
967,3.248
968,2.9255
969,2.8334
970,0.653
971,2.009
972,1.3968
973,2.0498000000000003
974,3.7979000000000003
975,1.0282
976,3.4347
977,3.4353000000000002
978,6.673100000000001
979,6.2328
980,3.4191
981,3.6159
982,4.3506
983,9.7826
984,7.8408999999999995
985,1.8328
986,1.9603
987,0.8974
988,3.2433
989,2.2153
990,3.9119
991,5.5166
992,5.5166
993,4.5061
994,4.2652
995,4.478899999999999
996,4.5061
997,5.736
998,4.9758000000000004
999,5.0087
